 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
 18.600     7.402     6.673   -26.373     4.792    0.656E-05    0.139E-08
 18.650     7.427     6.660   -26.310     4.805    0.649E-05    0.135E-08
 18.700     7.452     6.647   -26.248     4.819    0.642E-05    0.132E-08
 18.750     7.476     6.634   -26.187     4.832    0.635E-05    0.129E-08
 18.800     7.501     6.621   -26.125     4.846    0.629E-05    0.126E-08
 18.850     7.526     6.608   -26.064     4.859    0.622E-05    0.123E-08
 18.900     7.550     6.595   -26.003     4.872    0.615E-05    0.120E-08
 18.950     7.575     6.581   -25.942     4.886    0.609E-05    0.117E-08
 19.000     7.599     6.568   -25.882     4.899    0.602E-05    0.115E-08
 19.050     7.624     6.555   -25.822     4.912    0.596E-05    0.112E-08
 19.100     7.648     6.542   -25.762     4.925    0.590E-05    0.109E-08
 19.150     7.673     6.529   -25.702     4.939    0.584E-05    0.107E-08
 19.200     7.697     6.516   -25.643     4.952    0.578E-05    0.104E-08
 19.250     7.721     6.503   -25.583     4.965    0.572E-05    0.102E-08
 19.300     7.746     6.490   -25.524     4.978    0.566E-05    0.997E-09
 19.350     7.770     6.477   -25.466     4.991    0.560E-05    0.975E-09
 19.400     7.794     6.464   -25.407     5.005    0.554E-05    0.952E-09
 19.450     7.819     6.452   -25.349     5.018    0.548E-05    0.931E-09
 19.500     7.843     6.439   -25.291     5.031    0.543E-05    0.910E-09
 19.550     7.867     6.426   -25.233     5.044    0.537E-05    0.890E-09
 19.600     7.891     6.413   -25.176     5.057    0.532E-05    0.870E-09
 19.650     7.915     6.400   -25.119     5.070    0.526E-05    0.850E-09
 19.700     7.939     6.387   -25.062     5.083    0.521E-05    0.831E-09
 19.750     7.963     6.375   -25.005     5.096    0.516E-05    0.813E-09
 19.800     7.987     6.362   -24.948     5.109    0.510E-05    0.795E-09
 19.850     8.011     6.349   -24.892     5.122    0.505E-05    0.777E-09
 19.900     8.035     6.336   -24.836     5.135    0.500E-05    0.760E-09
 19.950     8.059     6.324   -24.780     5.148    0.495E-05    0.744E-09
 20.000     8.082     6.311   -24.724     5.161    0.490E-05    0.728E-09
 20.050     8.106     6.298   -24.669     5.174    0.485E-05    0.712E-09
